,YYY,MM,DD,hours,hours_mins,days,days_m,Kp,ap,D,datetime_column
198696,2000,1,1,0.0,1.5,24837.0,24837.0625,5.333,56,1,2000-01-01
198697,2000,1,1,3.0,4.5,24837.125,24837.1875,4.667,39,1,2000-01-01
198698,2000,1,1,6.0,7.5,24837.25,24837.3125,4.0,27,1,2000-01-01
198699,2000,1,1,9.0,10.5,24837.375,24837.4375,3.333,18,1,2000-01-01
198700,2000,1,1,12.0,13.5,24837.5,24837.5625,4.333,32,1,2000-01-01
198701,2000,1,1,15.0,16.5,24837.625,24837.6875,3.0,15,1,2000-01-01
198702,2000,1,1,18.0,19.5,24837.75,24837.8125,4.333,32,1,2000-01-01
198703,2000,1,1,21.0,22.5,24837.875,24837.9375,3.667,22,1,2000-01-01
198704,2000,1,2,0.0,1.5,24838.0,24838.0625,3.0,15,1,2000-01-02
198705,2000,1,2,3.0,4.5,24838.125,24838.1875,3.333,18,1,2000-01-02
198706,2000,1,2,6.0,7.5,24838.25,24838.3125,3.333,18,1,2000-01-02
198707,2000,1,2,9.0,10.5,24838.375,24838.4375,3.333,18,1,2000-01-02
198708,2000,1,2,12.0,13.5,24838.5,24838.5625,2.667,12,1,2000-01-02
198709,2000,1,2,15.0,16.5,24838.625,24838.6875,3.333,18,1,2000-01-02
198710,2000,1,2,18.0,19.5,24838.75,24838.8125,3.333,18,1,2000-01-02
198711,2000,1,2,21.0,22.5,24838.875,24838.9375,3.0,15,1,2000-01-02
198712,2000,1,3,0.0,1.5,24839.0,24839.0625,3.333,18,1,2000-01-03
198713,2000,1,3,3.0,4.5,24839.125,24839.1875,3.0,15,1,2000-01-03
198714,2000,1,3,6.0,7.5,24839.25,24839.3125,2.667,12,1,2000-01-03
198715,2000,1,3,9.0,10.5,24839.375,24839.4375,2.667,12,1,2000-01-03
198716,2000,1,3,12.0,13.5,24839.5,24839.5625,2.333,9,1,2000-01-03
198717,2000,1,3,15.0,16.5,24839.625,24839.6875,2.333,9,1,2000-01-03
198718,2000,1,3,18.0,19.5,24839.75,24839.8125,3.0,15,1,2000-01-03
198719,2000,1,3,21.0,22.5,24839.875,24839.9375,1.667,6,1,2000-01-03
198720,2000,1,4,0.0,1.5,24840.0,24840.0625,2.333,9,1,2000-01-04
198721,2000,1,4,3.0,4.5,24840.125,24840.1875,2.333,9,1,2000-01-04
198722,2000,1,4,6.0,7.5,24840.25,24840.3125,2.333,9,1,2000-01-04
198723,2000,1,4,9.0,10.5,24840.375,24840.4375,3.0,15,1,2000-01-04
198724,2000,1,4,12.0,13.5,24840.5,24840.5625,3.333,18,1,2000-01-04
198725,2000,1,4,15.0,16.5,24840.625,24840.6875,2.667,12,1,2000-01-04
198726,2000,1,4,18.0,19.5,24840.75,24840.8125,2.333,9,1,2000-01-04
198727,2000,1,4,21.0,22.5,24840.875,24840.9375,3.667,22,1,2000-01-04
198728,2000,1,5,0.0,1.5,24841.0,24841.0625,4.0,27,1,2000-01-05
198729,2000,1,5,3.0,4.5,24841.125,24841.1875,3.333,18,1,2000-01-05
198730,2000,1,5,6.0,7.5,24841.25,24841.3125,3.333,18,1,2000-01-05
198731,2000,1,5,9.0,10.5,24841.375,24841.4375,3.333,18,1,2000-01-05
198732,2000,1,5,12.0,13.5,24841.5,24841.5625,2.333,9,1,2000-01-05
198733,2000,1,5,15.0,16.5,24841.625,24841.6875,3.0,15,1,2000-01-05
198734,2000,1,5,18.0,19.5,24841.75,24841.8125,3.667,22,1,2000-01-05
198735,2000,1,5,21.0,22.5,24841.875,24841.9375,4.0,27,1,2000-01-05
198736,2000,1,6,0.0,1.5,24842.0,24842.0625,2.667,12,1,2000-01-06
198737,2000,1,6,3.0,4.5,24842.125,24842.1875,3.333,18,1,2000-01-06
198738,2000,1,6,6.0,7.5,24842.25,24842.3125,2.0,7,1,2000-01-06
198739,2000,1,6,9.0,10.5,24842.375,24842.4375,3.333,18,1,2000-01-06
198740,2000,1,6,12.0,13.5,24842.5,24842.5625,4.333,32,1,2000-01-06
198741,2000,1,6,15.0,16.5,24842.625,24842.6875,4.333,32,1,2000-01-06
198742,2000,1,6,18.0,19.5,24842.75,24842.8125,3.0,15,1,2000-01-06
198743,2000,1,6,21.0,22.5,24842.875,24842.9375,3.333,18,1,2000-01-06
198744,2000,1,7,0.0,1.5,24843.0,24843.0625,3.333,18,1,2000-01-07
198745,2000,1,7,3.0,4.5,24843.125,24843.1875,3.0,15,1,2000-01-07
198746,2000,1,7,6.0,7.5,24843.25,24843.3125,1.333,5,1,2000-01-07
198747,2000,1,7,9.0,10.5,24843.375,24843.4375,2.0,7,1,2000-01-07
198748,2000,1,7,12.0,13.5,24843.5,24843.5625,2.0,7,1,2000-01-07
198749,2000,1,7,15.0,16.5,24843.625,24843.6875,2.333,9,1,2000-01-07
198750,2000,1,7,18.0,19.5,24843.75,24843.8125,2.667,12,1,2000-01-07
198751,2000,1,7,21.0,22.5,24843.875,24843.9375,2.0,7,1,2000-01-07
198752,2000,1,8,0.0,1.5,24844.0,24844.0625,2.0,7,1,2000-01-08
198753,2000,1,8,3.0,4.5,24844.125,24844.1875,0.667,3,1,2000-01-08
198754,2000,1,8,6.0,7.5,24844.25,24844.3125,1.333,5,1,2000-01-08
198755,2000,1,8,9.0,10.5,24844.375,24844.4375,1.667,6,1,2000-01-08
198756,2000,1,8,12.0,13.5,24844.5,24844.5625,1.667,6,1,2000-01-08
198757,2000,1,8,15.0,16.5,24844.625,24844.6875,2.333,9,1,2000-01-08
198758,2000,1,8,18.0,19.5,24844.75,24844.8125,0.667,3,1,2000-01-08
198759,2000,1,8,21.0,22.5,24844.875,24844.9375,0.0,0,1,2000-01-08
198760,2000,1,9,0.0,1.5,24845.0,24845.0625,1.333,5,1,2000-01-09
198761,2000,1,9,3.0,4.5,24845.125,24845.1875,1.333,5,1,2000-01-09
198762,2000,1,9,6.0,7.5,24845.25,24845.3125,0.0,0,1,2000-01-09
198763,2000,1,9,9.0,10.5,24845.375,24845.4375,0.0,0,1,2000-01-09
198764,2000,1,9,12.0,13.5,24845.5,24845.5625,0.333,2,1,2000-01-09
198765,2000,1,9,15.0,16.5,24845.625,24845.6875,0.333,2,1,2000-01-09
198766,2000,1,9,18.0,19.5,24845.75,24845.8125,0.333,2,1,2000-01-09
198767,2000,1,9,21.0,22.5,24845.875,24845.9375,1.667,6,1,2000-01-09
198768,2000,1,10,0.0,1.5,24846.0,24846.0625,1.333,5,1,2000-01-10
